Frame,X,Y,Radius
0,382,163,17
1,393,167,29
2,391,159,14
3,403,178,28
4,391,159,23
5,383,163,15
6,376,158,11
7,395,172,32
8,407,166,31
9,413,173,30
10,419,181,38
11,383,154,27
12,393,165,20
13,383,171,16
14,395,160,24
15,385,177,16
16,386,173,22
17,388,164,24
18,389,154,21
19,389,153,25
20,395,157,17
21,389,172,13
22,395,208,27
24,391,170,14
25,367,169,26
26,419,164,35
28,401,149,21
29,397,159,18
30,397,157,13
31,395,154,21
33,403,146,18
34,397,161,15
35,401,154,16
36,398,153,20
37,407,173,13
38,391,152,13
39,400,149,21
40,407,161,16
41,400,149,20
42,373,149,22
43,376,175,47
44,399,149,12
45,405,152,21
46,406,149,21
47,406,155,19
48,409,158,18
49,407,151,19
50,409,151,20
51,409,148,20
52,407,155,18
53,412,151,19
54,415,143,15
55,440,152,24
56,445,149,22
57,419,153,17
58,419,154,19
59,417,155,14
60,425,145,12
61,419,147,19
62,419,155,17
63,419,155,17
64,431,167,24
65,424,151,20
66,422,154,12
67,425,149,19
68,385,165,37
69,400,178,24
70,407,181,19
71,410,173,28
72,392,170,42
73,400,167,39
74,399,164,42
75,409,173,34
76,397,169,41
77,409,166,39
78,441,152,20
79,455,155,10
80,421,169,26
81,419,181,22
82,419,179,23
83,417,187,19
84,415,175,26
85,447,140,12
89,449,149,15
92,469,151,10
93,469,148,10
94,433,175,33
95,427,173,42
96,458,182,14
97,479,164,35
98,476,148,9
99,476,147,10
101,477,147,11
102,479,146,10
103,466,181,15
104,467,155,17
105,475,145,15
106,463,203,22
107,461,205,25
113,461,203,22
114,466,202,22
115,467,207,23
116,478,200,20
117,467,194,18
118,466,203,20
119,476,200,26
120,479,189,22
121,473,199,20
122,477,209,29
123,477,208,27
124,457,169,23
125,453,178,26
126,449,176,32
127,452,167,38
128,458,171,29
129,463,181,23
130,457,165,41
131,475,178,20
132,478,182,15
133,465,172,29
134,451,166,46
135,481,176,18
136,479,173,22
137,475,160,32
141,471,172,45
145,485,176,28
146,499,170,24
147,514,181,13
148,494,177,33
150,505,178,20
152,518,177,20
158,526,178,18
159,523,181,14
161,529,181,18
162,499,173,26
163,533,195,18
165,527,188,16
166,536,183,15
167,565,167,43
168,505,173,26
169,535,188,22
170,542,187,13
171,544,187,13
172,514,175,22
173,514,173,20
174,535,193,19
175,539,176,12
176,532,193,19
177,523,175,19
178,527,176,18
179,523,172,18
180,517,161,34
181,532,173,21
182,521,167,32
183,523,166,34
184,529,166,30
185,543,178,17
186,530,166,39
187,541,171,23
188,548,169,24
189,526,171,33
190,541,166,25
191,541,158,30
192,544,171,20
193,544,178,17
194,581,146,11
195,571,147,19
196,584,143,10
198,585,145,10
