Model,Num Steps,Error,Inference Time,Training Time
Tracker2L,20,1.3603935568346441,0.05035156000003553,473.20512729999996
Tracker2L,20,5.723633192439724,0.059921359999862034,441.45244159999993
ImageClassification,20,1.3322469282240947,0.0534292600000299,505.77471019999984
ImageRegression,20,4.373894211198407,0.05832466000001659,487.0568771999997
