Frame,X,Y,Radius
13-41-38_16_0050,447,701,16
13-41-38_16_0051,441,706,12
13-41-38_16_0052,448,701,16
13-41-38_16_0053,463,700,20
13-41-38_16_0054,446,691,29
13-41-38_16_0055,490,700,25
13-41-38_16_0056,508,689,29
13-41-38_16_0057,502,679,38
13-41-38_16_0058,526,670,31
13-41-38_16_0059,536,644,46
13-41-38_16_0060,572,638,23
13-41-38_16_0061,585,616,31
13-41-38_16_0062,585,598,57
13-41-38_16_0063,607,571,41
13-41-38_16_0064,617,544,39
13-41-38_16_0065,637,537,46
13-41-38_16_0066,635,524,49
13-41-38_16_0067,651,501,70
13-41-38_16_0068,664,470,87
13-41-38_16_0069,676,466,72
13-41-38_16_0070,693,457,82
13-41-38_16_0071,700,424,74
13-41-38_16_0072,709,415,74
13-41-38_16_0073,731,395,57
13-41-38_16_0074,742,397,44
13-41-38_16_0075,745,395,65
13-41-38_16_0076,763,381,59
13-41-38_16_0077,769,362,53
13-41-38_16_0078,795,353,44
13-41-38_16_0079,805,335,54
13-41-38_16_0080,811,313,45
13-41-38_16_0081,831,311,32
13-41-38_16_0082,848,292,24
13-41-38_16_0083,866,267,29
13-41-38_16_0084,863,251,39
13-41-38_16_0085,871,238,37
13-41-38_16_0086,901,221,30
13-41-38_16_0087,898,215,19
13-41-38_16_0088,910,197,16
13-41-38_16_0089,926,207,18
13-41-38_16_0090,940,177,35
13-41-38_16_0091,958,165,33
13-41-38_16_0092,959,164,22
13-41-38_16_0093,970,123,40
13-41-38_16_0094,991,89,31
13-41-38_16_0095,1007,74,38
13-41-38_16_0096,1010,53,38
13-41-38_16_0097,1024,37,36
13-41-38_16_0098,1028,29,28
