Frame,X,Y,Radius
13-41-38_20_0011,1279,145,23
13-41-38_20_0013,1253,185,25
13-41-38_20_0014,1259,188,22
13-41-38_20_0015,1249,205,31
13-41-38_20_0016,1244,213,32
13-41-38_20_0017,1249,209,34
13-41-38_20_0018,1241,220,34
13-41-38_20_0019,1239,230,37
13-41-38_20_0020,1244,233,30
13-41-38_20_0021,1223,227,21
13-41-38_20_0022,1239,238,18
13-41-38_20_0023,1208,273,37
13-41-38_20_0024,1203,280,38
13-41-38_20_0025,1199,290,38
13-41-38_20_0026,1203,290,39
13-41-38_20_0027,1192,296,36
13-41-38_20_0028,1191,305,38
13-41-38_20_0029,1177,315,41
13-41-38_20_0030,1171,327,37
13-41-38_20_0031,1174,326,37
13-41-38_20_0032,1160,340,37
13-41-38_20_0033,1155,344,39
13-41-38_20_0034,1151,349,39
13-41-38_20_0035,1144,357,39
13-41-38_20_0036,1137,363,37
13-41-38_20_0037,1131,368,37
13-41-38_20_0038,1126,371,38
13-41-38_20_0039,1131,370,40
13-41-38_20_0040,1123,373,38
13-41-38_20_0041,1112,383,42
13-41-38_20_0042,1106,387,41
13-41-38_20_0043,1099,386,42
13-41-38_20_0044,1105,388,38
13-41-38_20_0045,1096,389,42
13-41-38_20_0046,1087,394,38
13-41-38_20_0047,1084,395,41
13-41-38_20_0048,1075,399,38
13-41-38_20_0049,1065,400,41
13-41-38_20_0050,1067,399,42
13-41-38_20_0051,1048,397,48
13-41-38_20_0052,1049,394,51
13-41-38_20_0053,1049,401,41
13-41-38_20_0054,1036,397,43
13-41-38_20_0055,1031,401,40
13-41-38_20_0056,1025,395,48
13-41-38_20_0057,1021,392,51
13-41-38_20_0058,1010,392,46
13-41-38_20_0059,1003,392,45
13-41-38_20_0060,1005,391,45
13-41-38_20_0061,999,387,46
13-41-38_20_0062,983,381,46
13-41-38_20_0063,971,376,34
13-41-38_20_0064,962,369,39
13-41-38_20_0065,964,375,38
13-41-38_20_0066,955,364,38
13-41-38_20_0067,940,352,38
13-41-38_20_0068,934,344,29
13-41-38_20_0069,932,346,36
13-41-38_20_0070,931,349,32
13-41-38_20_0071,910,326,29
13-41-38_20_0072,907,320,32
13-41-38_20_0073,905,316,37
13-41-38_20_0074,902,301,44
13-41-38_20_0075,893,279,34
13-41-38_20_0076,897,278,40
13-41-38_20_0077,903,267,34
13-41-38_20_0078,904,274,26
13-41-38_20_0079,904,256,25
13-41-38_20_0080,896,241,31
13-41-38_20_0081,892,225,24
13-41-38_20_0082,884,215,28
13-41-38_20_0083,861,212,36
13-41-38_20_0084,851,197,33
13-41-38_20_0085,849,173,29
13-41-38_20_0086,838,146,29
13-41-38_20_0087,843,129,20
13-41-38_20_0088,837,118,23
13-41-38_20_0089,843,112,60
13-41-38_20_0090,812,95,52
13-41-38_20_0091,819,76,44
13-41-38_20_0092,824,65,45
13-41-38_20_0093,799,37,31
