Frame,X,Y,Radius
13-41-38_10_0052,1252,369,14
13-41-38_10_0053,1250,388,26
13-41-38_10_0054,1239,383,30
13-41-38_10_0055,1240,394,37
13-41-38_10_0056,1240,386,35
13-41-38_10_0057,1237,380,37
13-41-38_10_0058,1214,379,34
13-41-38_10_0059,1196,406,67
13-41-38_10_0060,1192,421,42
13-41-38_10_0061,1165,433,69
13-41-38_10_0062,1151,451,37
13-41-38_10_0063,1125,463,62
13-41-38_10_0064,1131,484,50
13-41-38_10_0065,1109,507,34
13-41-38_10_0066,1087,506,44
13-41-38_10_0067,1079,533,24
13-41-38_10_0068,1073,549,24
13-41-38_10_0069,1041,569,19
13-41-38_10_0070,1022,561,37
13-41-38_10_0071,1017,593,44
13-41-38_10_0072,1001,609,39
13-41-38_10_0073,983,605,32
13-41-38_10_0074,974,638,37
13-41-38_10_0075,967,658,30
13-41-38_10_0076,951,661,32
13-41-38_10_0077,941,686,29
13-41-38_10_0078,913,687,33
13-41-38_10_0079,919,677,14
13-41-38_10_0080,889,679,20
13-41-38_10_0081,856,695,23
13-41-38_10_0082,782,709,54
13-41-38_10_0083,755,691,25
13-41-38_10_0084,754,689,27
13-41-38_10_0085,736,712,41
13-41-38_10_0086,711,688,22
13-41-38_10_0089,659,715,36
13-41-38_10_0093,581,713,35
13-41-38_10_0098,449,707,35
13-41-38_10_0100,463,712,69
13-41-38_10_0102,395,707,59
13-41-38_10_0103,341,700,30
13-41-38_10_0104,398,687,28
13-41-38_10_0105,334,682,53
13-41-38_10_0106,321,694,76
13-41-38_10_0107,317,689,29
13-41-38_10_0108,283,695,34
13-41-38_10_0109,275,699,40
13-41-38_10_0110,254,713,24
13-41-38_10_0111,243,699,28
13-41-38_10_0112,214,683,52
13-41-38_10_0113,202,679,46
13-41-38_10_0114,166,650,29
13-41-38_10_0115,128,644,42
13-41-38_10_0116,125,658,43
13-41-38_10_0117,77,649,34
13-41-38_10_0118,23,586,48
13-41-38_10_0119,20,536,46
