Frame,X,Y,Radius
13-41-38_12_0052,1273,259,54
13-41-38_12_0053,1252,273,28
13-41-38_12_0054,1235,263,34
13-41-38_12_0055,1229,274,37
13-41-38_12_0056,1219,262,52
13-41-38_12_0057,1210,291,43
13-41-38_12_0058,1191,273,11
13-41-38_12_0059,1159,313,46
13-41-38_12_0060,1154,346,48
13-41-38_12_0061,1147,328,25
13-41-38_12_0062,1094,364,25
13-41-38_12_0063,1093,383,21
13-41-38_12_0064,1049,407,29
13-41-38_12_0065,1028,413,34
13-41-38_12_0066,1007,431,32
13-41-38_12_0067,987,448,43
13-41-38_12_0068,953,449,45
13-41-38_12_0069,927,463,48
13-41-38_12_0070,901,485,41
13-41-38_12_0071,867,496,42
13-41-38_12_0072,845,513,38
13-41-38_12_0073,827,519,39
13-41-38_12_0074,796,532,42
13-41-38_12_0075,760,547,37
13-41-38_12_0076,749,554,40
13-41-38_12_0077,719,565,37
13-41-38_12_0078,705,566,35
13-41-38_12_0079,682,559,33
13-41-38_12_0080,664,565,46
13-41-38_12_0081,641,603,20
13-41-38_12_0082,608,587,40
13-41-38_12_0083,565,598,29
13-41-38_12_0084,554,627,37
13-41-38_12_0085,501,619,17
13-41-38_12_0086,490,621,32
13-41-38_12_0087,473,617,50
13-41-38_12_0088,421,628,66
13-41-38_12_0089,383,637,60
13-41-38_12_0090,339,652,44
13-41-38_12_0091,331,661,34
13-41-38_12_0092,295,677,36
13-41-38_12_0093,262,671,33
13-41-38_12_0094,245,693,23
13-41-38_12_0095,171,670,39
13-41-38_12_0096,140,682,19
13-41-38_12_0097,83,677,24
