Frame,X,Y,Radius
13-41-38_7_0050,33,479,26
13-41-38_7_0051,28,476,26
13-41-38_7_0052,47,475,36
13-41-38_7_0053,50,470,28
13-41-38_7_0054,41,477,36
13-41-38_7_0055,61,476,44
13-41-38_7_0056,65,476,30
13-41-38_7_0057,73,460,97
13-41-38_7_0058,104,413,65
13-41-38_7_0059,157,435,83
13-41-38_7_0060,197,425,78
13-41-38_7_0061,235,374,81
13-41-38_7_0062,292,368,69
13-41-38_7_0063,333,352,76
13-41-38_7_0064,369,341,46
13-41-38_7_0065,425,328,37
13-41-38_7_0066,481,314,37
13-41-38_7_0067,512,279,17
13-41-38_7_0068,574,268,32
13-41-38_7_0069,635,239,16
13-41-38_7_0070,661,221,20
13-41-38_7_0071,735,208,58
13-41-38_7_0072,782,202,83
13-41-38_7_0073,820,207,21
13-41-38_7_0074,855,214,44
13-41-38_7_0075,878,205,44
13-41-38_7_0076,911,187,57
13-41-38_7_0077,935,173,58
13-41-38_7_0078,974,152,72
13-41-38_7_0079,1003,166,72
13-41-38_7_0080,1012,135,89
13-41-38_7_0081,1037,111,60
13-41-38_7_0082,1073,115,68
13-41-38_7_0083,1114,83,82
13-41-38_7_0084,1101,85,54
13-41-38_7_0085,1145,74,57
13-41-38_7_0086,1150,77,77
13-41-38_7_0087,1166,49,33
13-41-38_7_0088,1163,13,12
