Frame,X,Y,Radius
13-41-38_22_0019,994,63,22
13-41-38_22_0025,991,71,24
13-41-38_22_0027,994,68,20
13-41-38_22_0028,980,61,36
13-41-38_22_0029,980,63,20
13-41-38_22_0030,987,64,22
13-41-38_22_0031,1010,43,17
13-41-38_22_0032,1013,41,20
13-41-38_22_0033,993,47,19
13-41-38_22_0034,985,47,23
13-41-38_22_0035,987,33,16
13-41-38_22_0036,979,39,17
13-41-38_22_0038,991,53,20
13-41-38_22_0042,993,58,20
13-41-38_22_0043,1007,61,21
13-41-38_22_0046,1012,47,20
13-41-38_22_0047,989,31,35
13-41-38_22_0049,985,38,27
13-41-38_22_0050,1001,33,41
13-41-38_22_0051,1000,45,30
13-41-38_22_0052,993,56,16
13-41-38_22_0053,992,61,15
13-41-38_22_0054,999,70,28
13-41-38_22_0055,1003,83,17
13-41-38_22_0056,993,79,19
13-41-38_22_0057,982,80,34
13-41-38_22_0058,997,92,22
13-41-38_22_0059,995,94,22
13-41-38_22_0061,922,112,65
13-41-38_22_0062,883,167,26
13-41-38_22_0063,875,176,30
13-41-38_22_0064,871,188,29
13-41-38_22_0065,868,199,29
13-41-38_22_0066,857,224,32
13-41-38_22_0067,850,236,31
13-41-38_22_0068,845,247,30
13-41-38_22_0069,842,256,31
13-41-38_22_0070,836,268,30
13-41-38_22_0071,841,263,30
13-41-38_22_0072,827,289,31
13-41-38_22_0073,827,284,32
13-41-38_22_0074,824,296,30
13-41-38_22_0075,819,305,31
13-41-38_22_0076,809,329,29
13-41-38_22_0077,809,322,32
13-41-38_22_0078,805,333,32
13-41-38_22_0079,789,353,28
13-41-38_22_0080,789,361,32
13-41-38_22_0081,785,370,31
13-41-38_22_0082,781,375,35
13-41-38_22_0083,775,385,33
13-41-38_22_0084,769,394,32
13-41-38_22_0085,765,398,35
13-41-38_22_0086,760,409,34
13-41-38_22_0087,753,416,32
13-41-38_22_0088,758,417,31
13-41-38_22_0089,751,422,33
13-41-38_22_0090,742,434,35
13-41-38_22_0091,733,441,33
13-41-38_22_0092,736,441,32
13-41-38_22_0093,723,457,34
13-41-38_22_0094,724,454,33
13-41-38_22_0095,712,467,34
13-41-38_22_0096,706,472,33
13-41-38_22_0097,709,471,34
13-41-38_22_0098,698,478,37
13-41-38_22_0099,691,487,34
13-41-38_22_0100,686,490,35
13-41-38_22_0101,681,494,36
13-41-38_22_0102,682,495,35
13-41-38_22_0103,677,496,35
13-41-38_22_0104,662,505,34
13-41-38_22_0105,658,505,37
13-41-38_22_0106,661,507,36
13-41-38_22_0107,649,513,37
13-41-38_22_0108,644,508,32
13-41-38_22_0109,634,518,35
13-41-38_22_0110,633,517,33
13-41-38_22_0111,632,517,39
13-41-38_22_0112,616,521,36
13-41-38_22_0113,620,520,39
13-41-38_22_0114,614,520,39
13-41-38_22_0115,608,521,38
13-41-38_22_0116,602,520,39
13-41-38_22_0117,593,520,41
13-41-38_22_0118,584,523,36
13-41-38_22_0119,581,517,43
13-41-38_22_0120,577,517,42
13-41-38_22_0121,566,514,37
13-41-38_22_0122,549,509,34
13-41-38_22_0123,543,507,35
13-41-38_22_0124,531,502,30
13-41-38_22_0125,525,501,32
13-41-38_22_0126,535,505,41
13-41-38_22_0127,529,499,38
13-41-38_22_0128,513,487,40
13-41-38_22_0129,507,481,42
13-41-38_22_0130,508,483,44
13-41-38_22_0131,493,472,46
13-41-38_22_0132,490,469,42
13-41-38_22_0133,483,458,42
13-41-38_22_0134,472,453,40
13-41-38_22_0135,460,437,45
13-41-38_22_0136,452,428,45
13-41-38_22_0137,443,418,45
13-41-38_22_0138,447,419,49
13-41-38_22_0139,424,395,45
13-41-38_22_0140,417,383,46
13-41-38_22_0141,406,371,46
13-41-38_22_0142,407,371,40
13-41-38_22_0143,383,346,42
13-41-38_22_0144,373,341,37
13-41-38_22_0145,346,320,24
13-41-38_22_0146,347,320,27
13-41-38_22_0147,352,295,41
13-41-38_22_0148,352,279,45
13-41-38_22_0149,322,275,48
13-41-38_22_0150,321,243,42
13-41-38_22_0151,328,230,54
13-41-38_22_0152,304,206,46
13-41-38_22_0153,298,201,40
13-41-38_22_0154,279,165,43
13-41-38_22_0155,271,137,49
13-41-38_22_0156,274,125,42
13-41-38_22_0157,267,105,46
