Frame,X,Y,Radius
13-41-38_26_0049,31,659,16
13-41-38_26_0050,44,644,28
13-41-38_26_0051,29,646,34
13-41-38_26_0052,39,640,38
13-41-38_26_0053,33,641,39
13-41-38_26_0054,34,628,25
13-41-38_26_0055,28,621,31
13-41-38_26_0056,37,614,44
13-41-38_26_0057,46,616,56
13-41-38_26_0058,77,604,53
13-41-38_26_0059,88,575,57
13-41-38_26_0060,97,560,29
13-41-38_26_0061,136,553,44
13-41-38_26_0062,167,556,41
13-41-38_26_0063,201,557,36
13-41-38_26_0064,208,537,28
13-41-38_26_0065,254,539,83
13-41-38_26_0066,268,514,65
13-41-38_26_0067,284,463,41
13-41-38_26_0068,304,481,32
13-41-38_26_0069,329,449,16
13-41-38_26_0070,374,440,26
13-41-38_26_0071,387,437,56
13-41-38_26_0072,405,410,60
13-41-38_26_0073,437,392,83
13-41-38_26_0074,442,377,74
13-41-38_26_0075,460,374,81
13-41-38_26_0076,454,356,68
13-41-38_26_0077,461,331,48
13-41-38_26_0078,491,315,73
13-41-38_26_0079,484,313,44
13-41-38_26_0080,494,298,37
13-41-38_26_0081,495,269,30
13-41-38_26_0082,496,269,29
13-41-38_26_0083,531,254,69
13-41-38_26_0084,532,257,65
13-41-38_26_0085,531,227,42
13-41-38_26_0086,542,215,50
13-41-38_26_0087,549,211,54
13-41-38_26_0088,543,197,37
13-41-38_26_0089,533,187,44
13-41-38_26_0090,548,145,24
13-41-38_26_0091,544,119,31
13-41-38_26_0092,554,104,28
13-41-38_26_0093,551,67,26
13-41-38_26_0094,559,37,16
13-41-38_26_0095,574,9,20
13-41-38_26_0096,565,1,61
13-41-38_26_0097,573,22,17
13-41-38_26_0098,596,35,29
