Frame,X,Y,Radius
13-41-38_9_0050,2,310,38
13-41-38_9_0051,7,335,45
13-41-38_9_0052,4,322,27
13-41-38_9_0053,14,320,27
13-41-38_9_0054,7,319,87
13-41-38_9_0055,63,304,27
13-41-38_9_0056,59,283,99
13-41-38_9_0057,65,251,42
13-41-38_9_0058,97,211,36
13-41-38_9_0059,187,230,99
13-41-38_9_0060,251,219,79
13-41-38_9_0061,292,202,30
13-41-38_9_0062,323,197,41
13-41-38_9_0063,382,170,25
13-41-38_9_0064,423,171,39
13-41-38_9_0065,478,167,36
13-41-38_9_0066,527,136,27
13-41-38_9_0067,571,129,44
13-41-38_9_0068,619,100,28
13-41-38_9_0069,662,68,62
13-41-38_9_0070,689,55,89
13-41-38_9_0071,740,28,66
13-41-38_9_0072,789,11,97
13-41-38_9_0073,820,7,99
13-41-38_9_0074,853,7,54
13-41-38_9_0075,902,1,23
13-41-38_9_0076,947,2,32
13-41-38_9_0077,1006,14,15
13-41-38_9_0078,1019,1,81
13-41-38_9_0079,1087,4,36
13-41-38_9_0080,1107,5,29
13-41-38_9_0081,1099,23,21
13-41-38_9_0082,1119,19,12
