Frame,X,Y,Radius
1,110,319,10
2,115,320,13
3,116,323,16
4,134,315,16
5,142,314,15
6,141,328,24
7,143,322,27
8,163,323,25
9,160,326,21
10,172,313,18
11,183,321,19
12,189,319,20
13,194,320,20
14,197,313,25
15,208,315,22
16,219,311,26
17,221,315,23
18,218,305,16
19,232,309,25
20,241,308,26
21,251,305,22
22,256,309,22
23,254,304,12
24,275,293,14
25,271,303,23
26,278,302,23
27,286,301,24
28,295,299,21
29,301,299,21
30,295,290,13
31,316,301,26
32,317,302,20
33,321,295,22
34,326,295,23
35,332,293,23
36,338,290,22
37,344,295,19
38,349,283,12
39,353,291,22
40,364,291,21
41,363,289,21
42,370,287,22
43,374,286,20
44,379,285,21
45,389,285,21
46,392,289,19
47,399,287,18
48,399,281,21
49,409,284,20
50,412,283,20
51,415,279,20
52,425,269,11
53,427,279,21
54,428,279,22
55,430,280,19
56,436,278,21
57,440,275,20
58,446,277,22
59,446,273,17
60,457,277,18
61,461,273,20
62,460,269,10
64,469,275,15
