Frame,X,Y,Radius
2,737,409,34
3,737,404,47
4,727,399,41
5,724,397,43
6,718,394,43
7,712,391,42
8,712,391,40
9,700,383,40
10,695,382,40
11,693,380,42
12,688,380,42
13,685,377,42
14,680,374,42
15,675,369,40
16,671,377,49
17,667,367,40
18,662,367,41
19,659,362,38
20,655,358,38
21,656,361,39
22,646,355,36
23,649,356,37
24,645,356,38
25,641,353,37
26,635,347,37
27,631,346,32
28,631,345,35
29,627,343,35
30,621,340,32
31,619,339,32
32,615,338,32
33,610,334,32
34,607,333,32
35,609,333,33
36,603,331,29
37,602,329,30
38,597,327,31
39,596,327,32
40,595,327,30
41,592,325,31
42,590,322,30
43,585,321,30
44,584,321,28
45,580,319,30
46,580,317,29
47,577,319,29
48,575,316,28
49,569,311,26
50,572,313,28
51,567,311,28
52,568,311,28
53,563,310,26
54,561,307,27
55,557,305,25
56,560,305,27
57,557,307,26
58,555,305,29
59,550,301,24
60,551,302,25
61,550,302,26
62,549,297,25
63,544,296,24
64,542,295,24
65,541,296,25
66,539,297,25
67,537,293,23
68,536,295,24
69,532,291,21
70,529,287,19
72,527,287,20
73,530,289,24
75,527,287,24
76,527,289,23
77,524,286,23
78,521,284,22
80,520,285,23
81,517,283,20
82,518,281,21
83,515,284,23
84,512,279,19
86,514,281,21
87,511,279,21
90,508,277,21
91,506,275,20
