Frame,X,Y,Radius
13-38-07_18_0051,1280,218,21
13-38-07_18_0052,1263,229,24
13-38-07_18_0053,1263,209,35
13-38-07_18_0054,1252,208,48
13-38-07_18_0055,1245,195,50
13-38-07_18_0056,1234,200,50
13-38-07_18_0057,1228,196,60
13-38-07_18_0058,1221,189,65
13-38-07_18_0059,1227,189,65
13-38-07_18_0060,1214,188,62
13-38-07_18_0061,1220,176,57
13-38-07_18_0062,1223,184,33
13-38-07_18_0063,1207,176,44
13-38-07_18_0064,1187,177,39
13-38-07_18_0065,1151,143,99
13-38-07_18_0066,1138,140,99
13-38-07_18_0067,1138,153,46
13-38-07_18_0068,1102,131,66
13-38-07_18_0069,1108,123,97
13-38-07_18_0070,1091,121,99
13-38-07_18_0071,1076,116,91
13-38-07_18_0072,1051,100,82
13-38-07_18_0073,1036,107,97
13-38-07_18_0074,1019,97,90
13-38-07_18_0075,1010,87,83
13-38-07_18_0076,974,76,74
13-38-07_18_0077,959,88,95
13-38-07_18_0078,937,82,56
13-38-07_18_0079,914,62,50
13-38-07_18_0080,877,62,64
13-38-07_18_0081,869,57,50
13-38-07_18_0082,821,59,74
13-38-07_18_0083,797,69,85
13-38-07_18_0084,785,73,79
13-38-07_18_0085,755,64,83
13-38-07_18_0086,737,62,82
13-38-07_18_0087,698,70,62
13-38-07_18_0088,665,61,97
13-38-07_18_0089,643,55,98
13-38-07_18_0090,602,56,90
13-38-07_18_0091,577,52,89
13-38-07_18_0092,554,40,95
13-38-07_18_0093,526,46,86
13-38-07_18_0094,502,38,89
13-38-07_18_0095,472,51,69
13-38-07_18_0096,454,31,85
13-38-07_18_0097,429,34,79
13-38-07_18_0098,405,23,86
13-38-07_18_0099,379,19,87
13-38-07_18_0100,341,13,81
13-38-07_18_0101,334,7,90
13-38-07_18_0102,302,32,65
13-38-07_18_0103,278,16,73
13-38-07_18_0104,254,14,81
13-38-07_18_0105,220,7,74
13-38-07_18_0106,191,1,77
13-38-07_18_0107,173,1,63
13-38-07_18_0108,140,10,54
13-38-07_18_0109,128,1,32
13-38-07_18_0110,105,1,35
13-38-07_18_0111,62,2,17
13-38-07_18_0112,79,1,27
