Frame,X,Y,Radius
13-38-07_7_0012,509,667,34
13-38-07_7_0014,535,656,39
13-38-07_7_0021,503,646,20
13-38-07_7_0022,533,664,33
13-38-07_7_0042,521,662,38
13-38-07_7_0047,525,698,38
13-38-07_7_0049,513,677,30
13-38-07_7_0052,542,679,51
13-38-07_7_0053,535,689,48
13-38-07_7_0054,529,653,42
13-38-07_7_0055,529,693,43
13-38-07_7_0056,539,644,45
13-38-07_7_0057,555,650,31
13-38-07_7_0058,521,689,35
13-38-07_7_0059,533,687,49
13-38-07_7_0061,538,671,47
13-38-07_7_0062,541,682,52
13-38-07_7_0063,545,674,46
13-38-07_7_0065,537,682,49
13-38-07_7_0066,551,667,37
13-38-07_7_0067,539,650,42
13-38-07_7_0068,543,651,48
13-38-07_7_0069,551,649,30
13-38-07_7_0070,547,635,44
13-38-07_7_0071,538,649,42
13-38-07_7_0073,530,650,55
13-38-07_7_0075,563,621,39
13-38-07_7_0076,545,551,37
13-38-07_7_0077,511,553,27
