Frame,X,Y,Radius
0,251,153,17
1,262,167,30
2,265,167,32
3,269,142,11
4,266,170,31
5,259,164,21
6,255,171,21
7,261,166,30
8,263,167,29
9,263,167,31
10,265,167,31
11,266,170,31
12,268,173,29
13,267,170,31
14,268,173,30
15,266,178,34
16,265,173,33
17,271,173,31
18,271,172,31
19,266,177,35
20,267,170,34
21,262,161,15
22,274,179,30
23,268,173,35
24,275,178,30
25,267,178,36
26,277,169,27
27,269,172,35
28,271,173,35
29,269,167,21
30,267,170,31
31,272,171,35
32,266,171,27
33,279,171,26
34,274,173,35
35,274,173,35
36,283,170,26
37,271,171,31
38,284,169,26
39,285,167,26
40,272,171,31
41,284,170,26
42,285,175,27
43,286,170,27
44,291,169,22
45,287,173,26
46,278,172,35
47,289,167,26
48,287,169,25
49,289,167,26
50,289,167,26
51,301,179,34
52,287,173,27
53,275,179,27
54,290,187,30
55,285,185,29
56,293,169,21
57,283,166,23
58,295,169,22
60,310,190,35
63,304,145,13
65,279,211,25
70,287,227,31
