Frame,X,Y,Radius
2,725,397,25
3,719,388,38
4,710,391,37
5,717,393,42
6,707,393,40
7,701,394,42
8,681,397,39
9,675,399,42
10,681,401,46
11,663,409,49
12,667,404,45
13,658,409,49
14,637,406,45
15,643,410,47
16,632,411,47
17,623,413,48
18,603,419,50
19,595,417,47
20,586,419,49
21,575,421,47
22,565,422,46
23,557,429,51
24,560,427,50
25,538,427,49
26,529,429,49
27,519,434,51
28,511,435,50
29,513,435,51
30,490,439,50
31,481,440,51
32,471,442,52
33,460,445,52
34,463,445,53
35,452,446,53
36,442,445,50
37,418,457,54
38,421,455,54
39,397,457,54
40,398,457,53
41,386,457,52
42,362,465,55
43,350,464,53
44,338,467,52
46,331,469,51
47,304,473,51
48,301,470,49
49,287,473,45
50,268,473,47
60,147,497,51
61,141,497,47
