Frame,X,Y,Radius
13-41-38_18_0049,341,705,15
13-41-38_18_0050,345,700,17
13-41-38_18_0051,358,699,19
13-41-38_18_0052,368,693,24
13-41-38_18_0053,391,687,29
13-41-38_18_0054,385,686,28
13-41-38_18_0055,417,692,23
13-41-38_18_0056,427,685,20
13-41-38_18_0057,448,697,83
13-41-38_18_0058,466,670,44
13-41-38_18_0059,496,658,49
13-41-38_18_0060,523,664,32
13-41-38_18_0061,545,638,58
13-41-38_18_0062,577,629,69
13-41-38_18_0063,611,627,66
13-41-38_18_0064,641,607,87
13-41-38_18_0065,653,589,82
13-41-38_18_0066,662,574,83
13-41-38_18_0067,709,563,79
13-41-38_18_0068,760,526,53
13-41-38_18_0069,785,487,70
13-41-38_18_0070,807,454,83
13-41-38_18_0071,831,436,85
13-41-38_18_0072,839,407,74
13-41-38_18_0073,851,386,77
13-41-38_18_0074,862,363,69
13-41-38_18_0075,874,328,60
13-41-38_18_0076,887,296,44
13-41-38_18_0077,901,274,62
13-41-38_18_0078,901,243,56
13-41-38_18_0079,915,215,57
13-41-38_18_0080,923,171,81
13-41-38_18_0081,905,183,27
13-41-38_18_0082,944,149,62
13-41-38_18_0083,955,115,60
13-41-38_18_0084,939,87,39
13-41-38_18_0085,953,57,48
13-41-38_18_0086,964,57,13
13-41-38_18_0087,949,33,28
13-41-38_18_0088,956,3,23
13-41-38_18_0089,952,10,17
13-41-38_18_0090,951,2,40
13-41-38_18_0091,965,1,26
