Frame,X,Y,Radius
13-41-38_13_0047,23,695,14
13-41-38_13_0048,13,707,11
13-41-38_13_0049,22,703,18
13-41-38_13_0050,21,698,21
13-41-38_13_0051,14,703,14
13-41-38_13_0052,3,697,23
13-41-38_13_0053,4,689,44
13-41-38_13_0054,37,658,62
13-41-38_13_0055,91,667,50
13-41-38_13_0056,109,661,61
13-41-38_13_0057,136,657,55
13-41-38_13_0058,170,663,54
13-41-38_13_0059,196,631,65
13-41-38_13_0060,230,653,29
13-41-38_13_0061,261,652,25
13-41-38_13_0062,281,659,57
13-41-38_13_0063,299,635,29
13-41-38_13_0064,352,622,21
13-41-38_13_0065,370,643,29
13-41-38_13_0066,392,621,25
13-41-38_13_0067,398,620,62
13-41-38_13_0068,449,626,36
13-41-38_13_0069,469,619,39
13-41-38_13_0070,476,586,65
13-41-38_13_0071,499,575,70
13-41-38_13_0072,530,573,68
13-41-38_13_0073,565,551,35
13-41-38_13_0074,603,521,46
13-41-38_13_0075,619,513,54
13-41-38_13_0076,649,483,44
13-41-38_13_0077,675,490,31
13-41-38_13_0078,707,476,56
13-41-38_13_0079,728,460,58
13-41-38_13_0080,739,436,44
13-41-38_13_0081,767,427,45
13-41-38_13_0082,789,406,36
13-41-38_13_0083,827,398,36
13-41-38_13_0084,832,385,52
13-41-38_13_0085,839,389,77
13-41-38_13_0086,862,364,95
13-41-38_13_0087,887,352,82
13-41-38_13_0088,919,334,78
13-41-38_13_0089,952,320,97
13-41-38_13_0090,952,280,97
13-41-38_13_0091,993,259,91
13-41-38_13_0092,1005,233,77
13-41-38_13_0093,1040,203,72
13-41-38_13_0094,1070,185,78
13-41-38_13_0095,1082,154,77
13-41-38_13_0096,1102,128,68
13-41-38_13_0097,1139,113,89
13-41-38_13_0098,1162,70,44
13-41-38_13_0099,1156,34,33
