Frame,X,Y,Radius
13-41-38_15_0052,1277,303,37
13-41-38_15_0053,1275,296,39
13-41-38_15_0054,1261,314,36
13-41-38_15_0055,1270,320,28
13-41-38_15_0056,1256,340,31
13-41-38_15_0057,1267,367,36
13-41-38_15_0058,1227,381,40
13-41-38_15_0059,1228,406,35
13-41-38_15_0060,1222,406,19
13-41-38_15_0061,1183,407,37
13-41-38_15_0062,1153,447,40
13-41-38_15_0063,1135,460,31
13-41-38_15_0064,1111,488,34
13-41-38_15_0065,1085,496,43
13-41-38_15_0066,1077,507,40
13-41-38_15_0067,1049,532,38
13-41-38_15_0068,1041,531,41
13-41-38_15_0069,1021,549,37
13-41-38_15_0070,1007,578,31
13-41-38_15_0071,997,574,35
13-41-38_15_0072,985,599,36
13-41-38_15_0073,971,609,37
13-41-38_15_0074,945,610,24
13-41-38_15_0075,921,621,26
13-41-38_15_0076,895,633,67
13-41-38_15_0077,873,646,27
13-41-38_15_0078,844,633,45
13-41-38_15_0079,823,647,44
13-41-38_15_0080,803,661,45
13-41-38_15_0081,791,659,41
13-41-38_15_0082,760,659,54
13-41-38_15_0083,753,671,40
13-41-38_15_0084,736,677,40
13-41-38_15_0085,717,675,43
13-41-38_15_0086,707,677,33
13-41-38_15_0087,703,682,26
13-41-38_15_0088,679,669,17
13-41-38_15_0089,670,677,20
13-41-38_15_0090,643,673,18
13-41-38_15_0091,619,673,17
13-41-38_15_0092,599,688,15
13-41-38_15_0093,590,668,29
13-41-38_15_0094,553,667,14
13-41-38_15_0095,525,670,27
13-41-38_15_0096,507,671,29
13-41-38_15_0097,465,675,40
13-41-38_15_0098,428,667,46
13-41-38_15_0099,429,669,35
13-41-38_15_0100,380,681,32
13-41-38_15_0101,355,692,27
13-41-38_15_0102,328,658,44
13-41-38_15_0103,303,655,48
13-41-38_15_0104,283,659,56
13-41-38_15_0105,268,639,35
13-41-38_15_0106,238,641,46
13-41-38_15_0107,203,629,36
13-41-38_15_0108,202,616,26
13-41-38_15_0109,170,609,30
13-41-38_15_0110,140,587,26
13-41-38_15_0111,131,595,24
13-41-38_15_0112,95,578,24
13-41-38_15_0113,74,565,15
13-41-38_15_0114,40,560,28
13-41-38_15_0115,29,536,18
