Frame,X,Y,Radius
13-41-38_14_0051,1277,251,24
13-41-38_14_0052,1275,255,43
13-41-38_14_0053,1279,247,43
13-41-38_14_0054,1279,253,44
13-41-38_14_0055,1267,279,46
13-41-38_14_0056,1241,263,33
13-41-38_14_0057,1237,296,42
13-41-38_14_0058,1207,305,46
13-41-38_14_0059,1227,311,22
13-41-38_14_0060,1196,362,30
13-41-38_14_0061,1148,358,29
13-41-38_14_0062,1154,379,26
13-41-38_14_0063,1133,380,45
13-41-38_14_0064,1105,412,30
13-41-38_14_0065,1091,439,28
13-41-38_14_0066,1081,437,34
13-41-38_14_0067,1058,442,31
13-41-38_14_0068,1012,465,29
13-41-38_14_0069,983,478,38
13-41-38_14_0070,964,475,30
13-41-38_14_0071,937,473,22
13-41-38_14_0072,895,497,68
13-41-38_14_0073,873,502,71
13-41-38_14_0074,843,517,66
13-41-38_14_0075,826,533,59
13-41-38_14_0076,796,537,66
13-41-38_14_0077,777,537,70
13-41-38_14_0078,749,548,67
13-41-38_14_0079,723,555,67
13-41-38_14_0080,695,560,67
13-41-38_14_0081,674,565,70
13-41-38_14_0082,647,568,69
13-41-38_14_0083,622,573,71
13-41-38_14_0084,598,574,73
13-41-38_14_0085,571,574,74
13-41-38_14_0086,543,579,76
13-41-38_14_0087,520,573,83
13-41-38_14_0088,506,586,66
13-41-38_14_0089,489,583,19
13-41-38_14_0090,449,566,50
13-41-38_14_0091,418,567,56
13-41-38_14_0092,382,559,45
13-41-38_14_0093,358,567,54
13-41-38_14_0094,327,545,39
13-41-38_14_0095,289,537,41
13-41-38_14_0096,257,523,26
13-41-38_14_0097,214,520,50
13-41-38_14_0098,199,494,17
13-41-38_14_0099,166,493,26
13-41-38_14_0100,149,471,33
13-41-38_14_0101,122,451,41
13-41-38_14_0102,77,430,43
13-41-38_14_0103,21,439,20
13-41-38_14_0104,19,469,19
