Frame,X,Y,Radius
13-41-38_23_0051,22,603,20
13-41-38_23_0052,9,599,34
13-41-38_23_0053,4,591,53
13-41-38_23_0054,27,591,28
13-41-38_23_0055,32,590,29
13-41-38_23_0056,38,580,37
13-41-38_23_0057,45,590,42
13-41-38_23_0058,25,561,28
13-41-38_23_0059,87,575,26
13-41-38_23_0060,101,519,45
13-41-38_23_0061,103,542,34
13-41-38_23_0062,142,535,34
13-41-38_23_0063,159,512,52
13-41-38_23_0064,173,478,43
13-41-38_23_0065,199,490,37
13-41-38_23_0066,221,479,38
13-41-38_23_0067,249,463,33
13-41-38_23_0068,265,430,41
13-41-38_23_0069,303,418,89
13-41-38_23_0070,320,394,72
13-41-38_23_0071,335,369,54
13-41-38_23_0072,347,359,61
13-41-38_23_0073,373,352,64
13-41-38_23_0074,410,329,69
13-41-38_23_0075,433,317,86
13-41-38_23_0076,445,274,61
13-41-38_23_0077,452,274,77
13-41-38_23_0078,485,242,45
13-41-38_23_0079,469,197,18
13-41-38_23_0080,507,177,39
13-41-38_23_0081,507,149,33
13-41-38_23_0082,506,115,23
13-41-38_23_0083,532,95,48
13-41-38_23_0084,557,81,70
13-41-38_23_0085,512,51,34
13-41-38_23_0086,526,19,20
13-41-38_23_0087,543,17,25
13-41-38_23_0088,557,3,25
13-41-38_23_0089,535,1,26
13-41-38_23_0090,548,1,24
13-41-38_23_0091,562,20,17
13-41-38_23_0093,553,13,12
13-41-38_23_0135,689,37,19
13-41-38_23_0136,709,44,33
13-41-38_23_0137,712,46,33
13-41-38_23_0139,713,51,33
13-41-38_23_0141,705,59,25
