Frame,X,Y,Radius
0,699,277,22
1,693,280,22
2,692,278,22
3,687,280,23
4,683,284,25
5,676,284,26
6,669,283,24
7,671,283,23
8,665,283,24
9,662,286,25
10,653,285,21
11,650,290,28
12,644,292,28
13,643,290,24
14,637,292,24
15,633,292,25
16,627,292,25
17,621,295,28
18,617,293,26
19,613,293,25
20,603,295,23
21,602,296,25
22,597,298,26
23,589,304,31
24,585,301,25
25,579,303,26
26,575,304,27
27,566,308,30
28,563,307,27
29,557,308,27
30,544,307,27
31,544,309,28
32,539,309,27
33,532,311,28
34,525,311,26
35,513,319,29
36,514,317,28
37,500,320,28
38,501,321,29
39,494,320,28
40,483,325,33
41,476,326,33
42,466,326,31
43,463,331,36
44,455,329,33
45,443,331,30
46,446,328,28
47,437,334,31
48,429,337,31
49,421,338,30
50,413,339,31
51,405,340,31
52,392,341,36
53,380,344,32
54,373,347,35
55,371,345,32
56,359,355,39
57,355,351,33
58,335,357,34
59,326,361,36
60,321,355,28
61,319,362,36
62,307,362,34
63,299,365,37
64,290,368,37
65,266,373,36
66,267,374,37
67,244,377,38
68,245,377,38
69,236,381,39
70,224,380,37
71,214,391,45
72,187,389,41
73,189,389,40
74,165,399,45
75,151,400,43
76,152,400,43
77,140,400,42
78,128,398,37
79,128,418,28
