Frame,X,Y,Radius
13-38-07_1_0000,257,677,30
13-38-07_1_0001,281,670,27
13-38-07_1_0002,285,677,34
13-38-07_1_0003,284,685,30
13-38-07_1_0004,279,683,32
13-38-07_1_0005,280,682,30
13-38-07_1_0006,266,700,20
13-38-07_1_0007,283,683,38
13-38-07_1_0008,275,687,32
13-38-07_1_0009,266,673,17
13-38-07_1_0010,269,693,25
13-38-07_1_0011,259,700,18
13-38-07_1_0012,303,669,34
13-38-07_1_0013,297,686,29
13-38-07_1_0014,302,679,33
13-38-07_1_0015,327,677,67
13-38-07_1_0016,326,674,38
13-38-07_1_0017,331,686,63
13-38-07_1_0018,331,673,63
13-38-07_1_0019,377,669,18
13-38-07_1_0021,380,679,19
