Frame,X,Y,Radius
13-38-07_11_0049,10,314,15
13-38-07_11_0050,25,314,24
13-38-07_11_0051,28,311,28
13-38-07_11_0052,38,307,31
13-38-07_11_0053,59,320,32
13-38-07_11_0054,71,327,30
13-38-07_11_0055,75,323,31
13-38-07_11_0056,103,337,25
13-38-07_11_0057,104,329,38
13-38-07_11_0058,105,334,31
13-38-07_11_0059,118,327,39
13-38-07_11_0060,115,327,20
13-38-07_11_0061,117,326,35
13-38-07_11_0062,128,343,23
13-38-07_11_0063,135,334,28
13-38-07_11_0064,133,334,23
13-38-07_11_0065,131,328,77
13-38-07_11_0066,127,345,97
13-38-07_11_0067,151,340,70
13-38-07_11_0068,172,350,79
13-38-07_11_0069,187,343,69
13-38-07_11_0070,196,341,72
13-38-07_11_0071,213,331,70
13-38-07_11_0072,233,327,61
13-38-07_11_0073,253,329,57
13-38-07_11_0074,255,322,64
13-38-07_11_0075,269,298,40
13-38-07_11_0076,305,305,33
13-38-07_11_0077,326,286,22
13-38-07_11_0078,340,267,41
13-38-07_11_0079,369,253,40
13-38-07_11_0080,375,277,24
13-38-07_11_0081,407,275,44
13-38-07_11_0082,419,290,37
13-38-07_11_0083,430,295,33
13-38-07_11_0084,437,299,29
13-38-07_11_0085,457,296,36
13-38-07_11_0086,484,305,89
13-38-07_11_0087,487,314,73
13-38-07_11_0088,497,314,73
13-38-07_11_0089,521,315,81
13-38-07_11_0090,527,317,77
13-38-07_11_0091,509,310,30
13-38-07_11_0092,519,307,37
13-38-07_11_0093,525,310,37
13-38-07_11_0094,531,317,31
13-38-07_11_0095,520,314,21
13-38-07_11_0096,506,303,36
13-38-07_11_0097,513,307,39
13-38-07_11_0098,509,325,30
13-38-07_11_0099,533,332,21
13-38-07_11_0100,517,337,15
13-38-07_11_0101,545,335,25
13-38-07_11_0102,562,335,21
13-38-07_11_0103,547,344,16
13-38-07_11_0104,553,353,32
13-38-07_11_0105,563,351,19
13-38-07_11_0106,575,335,34
13-38-07_11_0107,566,349,25
13-38-07_11_0108,607,357,11
13-38-07_11_0109,611,347,16
13-38-07_11_0110,619,376,31
13-38-07_11_0111,632,380,36
13-38-07_11_0112,657,374,23
13-38-07_11_0113,675,379,42
13-38-07_11_0114,703,395,38
13-38-07_11_0115,719,407,33
13-38-07_11_0116,731,415,37
13-38-07_11_0117,737,416,39
13-38-07_11_0118,749,430,53
13-38-07_11_0119,785,445,74
13-38-07_11_0120,757,417,40
13-38-07_11_0121,754,415,34
13-38-07_11_0122,775,416,33
13-38-07_11_0123,785,421,73
13-38-07_11_0124,763,403,26
13-38-07_11_0125,769,401,28
13-38-07_11_0126,791,413,30
13-38-07_11_0127,793,400,43
13-38-07_11_0128,801,405,43
13-38-07_11_0129,795,409,19
13-38-07_11_0130,793,394,39
13-38-07_11_0131,807,412,34
13-38-07_11_0132,794,416,32
13-38-07_11_0133,813,401,38
13-38-07_11_0134,823,403,47
13-38-07_11_0135,838,424,46
13-38-07_11_0136,839,398,44
13-38-07_11_0137,856,418,50
13-38-07_11_0138,856,397,59
13-38-07_11_0139,863,416,51
13-38-07_11_0140,850,430,38
13-38-07_11_0141,874,441,31
13-38-07_11_0142,874,424,40
13-38-07_11_0143,855,435,39
13-38-07_11_0144,863,442,37
13-38-07_11_0145,866,459,23
13-38-07_11_0146,872,446,34
13-38-07_11_0147,872,448,35
13-38-07_11_0148,881,443,34
13-38-07_11_0149,885,443,35
13-38-07_11_0150,893,451,35
13-38-07_11_0151,895,446,31
13-38-07_11_0152,901,452,38
