Frame,X,Y,Radius
13-38-07_4_0000,334,632,41
13-38-07_4_0001,316,640,98
13-38-07_4_0002,334,631,85
13-38-07_4_0003,331,631,89
13-38-07_4_0004,328,656,68
13-38-07_4_0005,337,633,87
13-38-07_4_0006,334,640,90
13-38-07_4_0007,331,641,93
13-38-07_4_0008,343,653,73
13-38-07_4_0009,326,635,99
13-38-07_4_0010,335,652,83
13-38-07_4_0011,319,653,58
13-38-07_4_0012,327,649,91
13-38-07_4_0013,332,641,60
13-38-07_4_0014,344,647,83
13-38-07_4_0015,343,653,78
13-38-07_4_0016,332,625,52
13-38-07_4_0017,325,626,38
13-38-07_4_0018,325,629,34
13-38-07_4_0019,328,610,42
13-38-07_4_0020,333,589,25
13-38-07_4_0021,325,590,66
13-38-07_4_0022,325,599,30
13-38-07_4_0023,362,608,32
13-38-07_4_0024,358,595,21
13-38-07_4_0025,365,605,29
13-38-07_4_0026,361,608,28
13-38-07_4_0027,369,601,37
13-38-07_4_0028,383,620,49
13-38-07_4_0029,389,621,58
13-38-07_4_0030,391,619,57
13-38-07_4_0031,413,625,24
13-38-07_4_0032,419,652,27
13-38-07_4_0033,409,639,35
13-38-07_4_0034,418,647,31
13-38-07_4_0035,421,644,34
13-38-07_4_0036,419,637,34
13-38-07_4_0037,413,641,34
13-38-07_4_0038,419,635,36
13-38-07_4_0039,431,655,31
13-38-07_4_0040,418,647,35
13-38-07_4_0041,437,661,29
13-38-07_4_0042,441,669,25
13-38-07_4_0043,430,688,20
13-38-07_4_0044,436,670,31
13-38-07_4_0045,434,668,32
13-38-07_4_0046,455,670,16
13-38-07_4_0047,445,689,23
13-38-07_4_0048,448,697,50
13-38-07_4_0049,429,671,38
13-38-07_4_0050,425,655,37
13-38-07_4_0051,419,673,44
13-38-07_4_0052,425,677,39
13-38-07_4_0053,425,670,39
13-38-07_4_0054,403,661,56
13-38-07_4_0055,391,656,54
13-38-07_4_0056,385,655,45
13-38-07_4_0057,371,661,28
13-38-07_4_0058,376,625,30
13-38-07_4_0059,387,620,40
13-38-07_4_0060,385,625,37
13-38-07_4_0061,389,610,30
13-38-07_4_0062,393,632,51
13-38-07_4_0063,386,611,28
13-38-07_4_0064,397,629,43
13-38-07_4_0065,383,665,46
13-38-07_4_0066,403,640,44
13-38-07_4_0067,421,673,42
13-38-07_4_0068,412,659,49
13-38-07_4_0069,424,681,44
13-38-07_4_0070,406,675,63
13-38-07_4_0071,422,641,25
13-38-07_4_0072,418,649,59
13-38-07_4_0073,397,645,58
13-38-07_4_0074,391,644,48
13-38-07_4_0075,379,641,15
13-38-07_4_0076,389,644,58
13-38-07_4_0077,397,656,53
13-38-07_4_0078,388,647,58
13-38-07_4_0079,397,662,54
13-38-07_4_0080,401,657,55
13-38-07_4_0081,397,655,54
13-38-07_4_0082,401,653,57
13-38-07_4_0083,405,657,56
13-38-07_4_0084,404,663,59
13-38-07_4_0085,400,664,53
13-38-07_4_0086,398,655,51
13-38-07_4_0087,404,653,55
13-38-07_4_0088,400,652,58
13-38-07_4_0089,401,655,55
13-38-07_4_0090,397,653,63
13-38-07_4_0091,400,658,56
13-38-07_4_0092,393,640,73
13-38-07_4_0093,409,658,59
13-38-07_4_0094,403,662,54
13-38-07_4_0095,404,647,56
13-38-07_4_0096,412,656,59
13-38-07_4_0097,407,647,60
13-38-07_4_0098,409,657,59
13-38-07_4_0099,407,661,60
13-38-07_4_0100,411,651,61
13-38-07_4_0101,412,661,61
13-38-07_4_0102,411,661,61
13-38-07_4_0103,410,657,58
13-38-07_4_0104,409,652,59
13-38-07_4_0105,417,644,64
13-38-07_4_0106,415,650,62
13-38-07_4_0107,425,643,67
13-38-07_4_0108,410,635,53
13-38-07_4_0109,424,629,44
13-38-07_4_0110,421,646,62
13-38-07_4_0111,412,628,52
13-38-07_4_0112,423,650,63
13-38-07_4_0113,419,656,58
13-38-07_4_0114,419,649,59
13-38-07_4_0115,423,638,64
13-38-07_4_0116,422,659,58
13-38-07_4_0117,417,659,53
13-38-07_4_0118,416,646,53
13-38-07_4_0119,421,668,54
13-38-07_4_0120,423,675,51
13-38-07_4_0121,418,650,50
13-38-07_4_0122,407,659,41
13-38-07_4_0123,398,655,46
13-38-07_4_0124,411,670,41
13-38-07_4_0125,419,656,50
13-38-07_4_0126,431,667,62
13-38-07_4_0127,410,657,42
13-38-07_4_0128,428,668,57
13-38-07_4_0129,415,675,40
13-38-07_4_0130,407,668,45
13-38-07_4_0131,400,645,30
13-38-07_4_0132,415,667,41
13-38-07_4_0133,431,673,53
13-38-07_4_0134,445,655,72
13-38-07_4_0135,425,635,46
13-38-07_4_0136,393,647,20
13-38-07_4_0137,430,578,34
13-38-07_4_0138,449,602,19
13-38-07_4_0139,473,569,49
13-38-07_4_0140,436,653,62
13-38-07_4_0141,449,625,59
13-38-07_4_0142,457,657,45
13-38-07_4_0145,461,611,49
13-38-07_4_0146,448,599,58
13-38-07_4_0150,459,595,65
