Frame,X,Y,Radius
0,509,287,22
1,511,287,21
2,506,289,20
3,511,290,22
4,512,289,22
5,513,291,23
6,513,291,18
7,517,293,22
8,512,293,19
9,520,296,24
10,521,298,23
11,519,299,23
12,521,297,23
13,525,296,22
14,527,303,25
15,530,302,26
16,530,305,24
17,532,305,26
18,533,308,27
19,535,308,27
20,538,309,26
21,539,307,26
22,543,310,27
23,544,310,28
24,544,311,28
25,547,311,27
26,548,315,28
27,553,316,29
28,555,322,29
29,555,322,28
30,559,322,29
31,560,323,29
32,563,325,30
33,563,325,29
34,566,325,31
35,567,326,31
36,571,325,30
37,573,329,30
38,578,329,31
39,577,332,32
40,579,333,31
41,583,340,32
42,587,341,33
43,586,343,34
44,592,344,33
45,593,345,33
46,595,345,32
47,599,349,34
48,601,349,35
49,602,350,34
50,605,353,35
51,610,356,37
52,616,359,35
53,621,363,38
54,629,364,34
55,627,364,38
56,629,364,36
57,627,364,36
58,638,369,37
59,637,370,40
60,643,373,36
61,641,376,38
62,657,386,40
63,656,387,41
64,657,387,43
65,664,389,42
66,669,392,43
67,673,394,43
68,679,398,44
69,675,411,29
70,695,412,25
71,704,431,16
72,697,434,21
73,699,447,13
74,703,457,12
75,688,429,26
76,685,437,16
77,689,448,12
78,697,445,18
79,730,435,43
80,731,437,46
